,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
малакия,,μαλακία,ж.,"малакiя, малахвiя",,,,,Рукоблудие,"masturbatio, sporta","ФГcэ, III, 120; Срз. II, 102, СлРЯ, 9, 12",,,,XI в.,,"Тижде бо и малакию чътощя (μαλακίαν). Гр.Наз., 3.",,,,
Малания,,Μαλάνη,ж.,маланья,,,,,,"Melane, Nomen propr.","ФГcэ, III, 120",,,,,,,,,,
малахвейка,,μαλακία,,манахвейка,,,,,,,"ФГcэ, III, 120",,,,,,,,,,
мальхамъ,,μάλαγμα,м.,"мальханъ, мельханъ, мальхабъ",,,,,"Мазь, пластырь.",unguentum,"ФГcэ, III, 121, СлРЯ, 9, 24",,,,XVII в.,XV в.,"Мазь живущая есть малхаб: смола яловая сухая а сосновая, и обе смолы з медвежим салом зварити. Леч. IV, 100.",,,,
мальханить,,μάλαγμα,глаг.,,,,,,,unguere,"ФГcэ, III, 121",,,,,,,,,,
мама,,Μάμας,м.,,,,,,Как личн. имя; в сост. наименования приюта св. Мамы в Константинополе.,,"СлРЯ, 9, 24",,,,1377 г.,,"(945): И приходящимъ имъ [русским послам и купцам] да витаютъ у стго Мамы да послеть црство ваше [вар.: наше]. Лавр.лет., 48.",,,,
мамона,,μαμωνᾶς,ж.,,,от евр.,,,"Богатство, мамона. ",dicitiae,"ФГcэ, III, 121, СлРЯ, 9, 25","Стболг. I, 837",да,да,,1057 г.,"Не можете Б҃у работати и мамонѢ (μαμωνᾷ). (Мф. VI, 24) Остр.ев., 62.",,,,
мамонинъ,,,прил.,,,,,,Прил. к мамона.,,"СлРЯ, 9, 25",,,,XV в.,XI в.,Мамонины слуги. Козм.пресв. о ерес.,,,,
мамоничищь,,,м.,,,,,,Дитя мамоны (утробы).,,"СлРЯ, 9, 25",,,,"XV в.
",XI в.,Еретици младенца мамоничища зовутъ. Козм.пресв. о ерес.,,,,
мамоня,,μαμμωνᾶς,ж.,,,,,,,,"ФГcэ, III, 121",,,,,,,,,,
манастрия,,μαναςτρία<μοναστρία,ж.,,,,да,,Монахиня.,Монахиня,"ФГcэ, III, 121; Срз. II, 109; СлРЯ, 9, 25",,,,XI в.,,"Манастрия сѢдяаше въ своемь дому безмлхвьствующи (μανάστρια). Патерик Син., 114.",,,,
манатейка,,,ж.,манатийка,,,,,Уманьш. к манатья.,,"СлРЯ, 9, 25",,,да,1668 г.,,"Дачи старцу Симону... дано ряску новую, тонкую, свитку новую, свитошного сукна, коты бѢлые новые, манатейка малая новая. А.Уст. II, 209.",,,,
манатейниковъ,,,прил.,,,,,,Прил. к манатейникъ. В сост.личн. имени.,,"СлРЯ, 9, 26",,,да,1669 г.,,"Анбаръ вд<овы> Манатейниковы. Кн.пер.Моск. II, 129.",,,,
манатейникъ,,,м.,,,,,,"Мастер, который шьет мантии.",,"СлРЯ, 9, 25",,,да,1583 г.,,"Лав<ка> Калинки Васильева сына манатейника. Новг.лав.кн., 65.",,,,
манатейный,,,прил.,"манатьиный, манотьиный, монатейный",,,,,Прил. к манатья.,,"СлРЯ, 9, 26",,,да,1280 г.,,"Манотьиныи краи. Новг.крм., 612.",,,,
манатейца,,,ж.,монатейца,,,,,Уменьш. к манатья.,,"СлРЯ, 9, 26",,,да,1578 г.,,"Купил манатейцу дал восмъ денег. Кн.прих.-расх.Ант.м. № 1, 81.",,,,
манатье,,,с.,,,,,,Монашеское облачение.,,"СлРЯ, 9, 26",,,да,1513 г.,,"Да тех жо денег дано на манат(ь)е да на скимѢ дватцат(ь) алт(ы)нъ. АРГ, 111.",,,,
манатьишко ,,,с.,монатьишко,,,,,Уменьш.-уничиж. к манатья.,,"СлРЯ, 9, 26",,,да,XVII в.,,"Монатьишко ветчано. Оп.им.кн.Мстисл., 5.",названия одежды,,,
манатья,,,ж.,"манатия, манотья, монатья, монатия",,,,,"Мантия (монашеская), монашеское облачение.",,"СлРЯ, 9, 26",,,,"Ок. 1425 г.
",,"(1147): И манотью на немъ оторгоша. Ипат.лет., 351.",названия одежды,,,
мангерия,,,,,,,,,Род кушанья.,,"СлРЯ, 9, 26",,,,XII в.,,"Во вторникъ же... елы мангерию безъ масла, орѢхи же вълагаимы въ масла мѢсто. (Панд.Ник.) Свед. и зам. II, 245.",,,,
"мандониты
",,,мн.,,,,,,Последователи одной из христианских ересей.,,"СлРЯ, 9, 26",,,,XVI в.,,"Павликияны иж от Павла самомсамскаго сут<ь> и евномьяны, и мандониты, и маркиониты и сущаа от подобных им ересии... в первыи д҃нь повелѢваем имъ да прокленут свою ересь. Корм.Балаш.,51.",,,,
мандрагора,,μανδραγόρας,ж.,мандрагура,,,,,"Растение семейства пасленовых, мандрагора.",,"СлРЯ, 9, 26",,,,XV в.,,"Мандрагурою бо врачеве намь писание (сербск.сп. 1263 г.: сп҃сение) творять. Шестоднев Ио.екз.3, 55 об.",названия растений,,,
мандрагоровъ,,,прил.,,,,,,Прил. к мандрагоръ.,,"СлРЯ, 9, 26",,,,1499 г.,,"И обрѢте яблока мандрагорова на полѢ (μηλα μανδραγορων). (Быт. XXX, 14) Библ.Генн.",,,,
мандрагоръ,,,м.,маланъдрагоронъ,,,,,"То же, что мандрагора.",,"СлРЯ, 9, 26",,,,1499 г.,,"Манъдрагоръ дашя воню кго (οι μανδραγόραι). (Песн.Песн. VII, 13) Библ.Генн.",названия растений,,,
мандракъ,,,м.,,,,,,"То же, что мандрагора.",,"СлРЯ, 9, 27",,,,XV в.,,"Да прораститъ земля траву лядинную възрасте с пищныимъ и черемное съ пщеницею стволие с прочими же и с пищьныими съпруждь [Шестоднев Ио.екз.4, к. XVI в. - н. XVII в.: съпряждь] и аконит и мандрак (сп. 1263 г.: мандрагура) и покусникъ. Шестоднев Ио.екз.3, 55.",,,,
манихѢи,,,мн.,,,,,,"Последователи одной из христианских сект, проповедовавшей учение о двух началах сущего.",,"СлРЯ, 9, 27",,,,1076 г.,,"И манихеи и прокыихъ съборъ. Изб.Св. 1076 г., 625.",,,,
манихѢйский,,,прил.,,,,,,Прил. к манихѢи.,,"СлРЯ, 9, 27",,,,XIII-XIV вв.,XI в.,"МанихѢиско бѢсовьствие, из неяже яко нѢкоторого бѢснующася пса скверньну и злую приимъше болѢзнь прозябъшю и лжихъ злоучении бѢснующимъся на иконы шибеная ересь. Хрон.Г.Амарт., 28.",,,,
манихѢяне,,,мн.,,,,,,"То же, что манихѢи.",,"СлРЯ, 9, 27",,,,XVI в.,,"МанихѢяне... сл҃нце ж чтуще и луну и звѢзды. Корм. Балаш., 450.",,,,
мания,,μανία,ж.,,,,,,"Безумие, психическое расстройство.",,"СлРЯ, 9, 27",,,,XVII в.,1534 г.,"Тако же от того приятия [чемеричной настойки] бѢшенство еже есть мания полсгсетъ, омракъ же из главы изгонитъ. Травник Любч., 28.",,,,
манна,,μάννα,ж.,"маньна, мана",,,,,"1. Манна (по библейской легенде - пища, падавшая с неба во время странствования евреев по пустыне). 2. Манная крупа.",oleum sacrum,"ФГcэ, III, 121; СлРЯ, 9, 28",,,,XIII в.,,"Мана есть скровеная: съшьдыи съ н҃бсъ насъ ради и снѢдѢнъ бывъ... маньна наричаеться, яко съ н҃бсъ съшьдъша отнюд уже вышни Ер҃слмъ (μάννα). Апокал., 16 об.",,,,
манный,,μάννα,прил.,,,,,,Приготовленный из манны.,,"ФГcэ, III, 121; СлРЯ, 9, 28",,,,1499 г.,,"ХлѢбъ масленъ и маннъ (). (Лев. VIII, 25-26) Библ.Генн.",,,,
манотка,,,ж.,манътка,,,,,"Уменьш. к манотья; малая мантия, служащая для покрытия плеч.",,"СлРЯ, 9, 28",,,да,1283 г.,XII в.,"По сему образу чьрньцю малая манътка, да не на пьрсьх, ни на лици, нъ за плечима ветхый закон дьржить. Кир.Тур. XII, 359.",,,,
мантия,,"μάντιον,pl.μαντια<ἱμάντιον",ж.,"манотка, мантъка, монотья, манътья, мандия",,,,,"Верхняя одежда ранних христиан в виде плаща, позднее сохранилась у монахов, а также в парадном одеянии царей и высших слоев духовенства.",mantile,"ФГcэ, III, 121-122; СлРЯ, 9, 28",,,,XI в.,,"Не имѣюща ничьсо же, тък<ъ>мо стихарь струньнъ, то ли мантию (πλην... παλλίου). Патерик Син., 181.",названия одежды,,,
мануалии,,μανουάλιον,м.,,,,,,Большой подсвечник.,candelabrum manuale,"ФГcэ, III, 122; СлРЯ, 9, 28",,,да,1686 г.,,"На святой трапезѢ лежатъ разныя краснѢйшыя сосуды... и мануалиа со свѢщами. Проскинитарий Арс.К., 22.",,,,
маньякъ,,,м.,,,от лат. maniacus: mania от греч. μανία,,,"Притворщик, льстец, угодник.",,"СлРЯ, 9, 29",,,,XVII в.,XVI в.,"О царю, къ чему тя привели человѢкоугодницы? и чемъ тя сотворили любимыя маньяеи твои [на поле: ласкатели, або похлѢбники]. Курб.Ист., 270.",,,,
маргарита,,μαργαρίτης,ж.,,,,,,Кусочек освященной просфоры (в составе святых даров).,,"СлРЯ, 9, 29",,,да,1667 г.,,"Болнымъ же подается отъ вина со лжицы дважды и трижды, дабы возмогли потребити маргариту суху сущу. ДАИ V, 468.",,,,
маргаритъ,,μαργαρίτης,м.,,,,,,"1. Жемчуг, жемчужина. 2. Название книги поучений, извлеченных из сочинений Иоанна Златойста.",margarita,"ФГcэ, III, 122; Срз. II, 112; СлРЯ, 9, 29",,,,1578 г.,,"Да маргаритъ, въ дестъ... да апостолъ, въ дестъ, по бумагѢ. Кн.п.Моск. I, 297.",,,,
маргений,,,м.,,,,да,,"Мешок, сума",,"СлРЯ, 9, 29",,,,XI в.,,"Възьмъ от маргения своего едину еулогию, иде въ Льву ('εκ του μαργίου). Патерик Син., 211.",,,,
маргоние,,μαργόνιον,ср.,,"маргений, м.",,,,,saccus,"ФГcэ, III, 122, СлРЯ",,,,XI в.,,,,,,
мардурий,,μαρτυρίων,м.,,,,,,"Храм, посвященный мученику.",,"СлРЯ, 9, 29",,,,XIII-XIV вв.,,"Аще ли уже етери пришли будуть от иноя во ину цр҃кве, сирѢчь сущихъ въ неи мардурии, ли птихии, ли страньноприятии, на приобьщение вещи (μαρτυρίων). (Уст.корм. Ио.Схол.Халк., 10) Обозр.Корм., прил., 25.",,,,
маринаръ,,μαρινάρις,м.,маринарь,,,,,,nauta,"ФГcэ, III, 122",,,,,,,,,,
маркиане,,μαρκιανισται,мн.,маркияне,,,,,Последователи одной из христианских ересей (по имени Маркиана из Понта - главы позднеантичного религиозного течения гностицизма).,,"СлРЯ, 9, 30",,,,XII в.,,"Маркияне и месалияне, и правьдьници и братьници и становтьци, тако нарицяеми, зане многоименитѢ быти ересѢ. Ефр.корм., 733.",,,,
маркианисты,,,мн.,,,,,,"То же, что маркиане.",,"СлРЯ, 9, 30",,,,XVI в.,XV в.,"Знаменаи на лампетиане, рекше месалиане или аделфиане, иже кои трилѢтие тъкмо въ конець постившеи, по сихъ въ толико не лучийствують прочее своея жизни время (μαρκιανιστων). (Дионисий Ареопаг.) ВМЧ, Окт. 1-3, 699.",,,,
маркианский,,,прил.,маркиянский,,,,,Прил. к маркиане.,,"СлРЯ, 9, 30",,,,XII в.,,"На таковую многоглавьную и мъногоименитую маркияньскую ересу. Ефр.корм., 733.",,,,
марморозданный,,,прил.,"мармаразданный, мраморозданный",,,,,,,"СлРЯ, 9, 289",,,,,,,,,,
мармуровый,,,прил.,мрамуровый,,,,,,,"СлРЯ, 9, 290",,,,,,,,,,
марсипионъ,,μαρσύπιον:μάρσυπος,м.,,,,да,,"Мешок, кошель",saccus,"ФГcэ, III, 122, СлРЯ, 9, 31",,,,XI в.,,"Възьмъше вся и отъшьдъше забыша марсипионъ, еже бѣ въ дому вися (μαρσύππιον). Патерик Син., 353.",,,,
мартиросъ,,μάρτυρος<μάρτυς,м.,,"матриръ (ФГcэ, III, 123)",,,,,martyrus,"ФГcэ, III, 122-123",,,,,,,,,,
мартовский,,,прил.,,,,,,Прил. к мартъ.,,"СлРЯ, 9, 31",,,,1671 г.,,"Евангелие недѢлное печатное... апостолъ писменной, прологъ полугодовой мартовской половины, печатной. АЮБ II, 229.",календарная лексика,,,
мартовый,,,прил.,,,,,,Прил. к мартъ.,,"СлРЯ, 9, 31",,,,XVII в.,,"Мартовый. Martовый [так в ркп.]. Лекс. словен.-лат., 466.",,,,
мартолой,,αμαρτολόγιον,м.,мартологъ,,,,,Ложная (отреченная) книга астрологического содержания.,,"СлРЯ, 9, 31",,,,XIV в.,,"А се душевнии грѢси... вѢровати... въ громникъ, и в колядникъ, и въ всь мартолои проклятыи. (Сл. от ев.) Пон. III, 236.",,,,
мартолон,,μαρτολόγι:ἁμαρτολόγιον,м.,,,,,,,liber astronomicus,"ФГcэ, III, 123; Срз. II, 112",,,,,,,,,,
мартъ,,μάρτις,м.,,,,,,Март.,martius,"ФГcэ, III, 123; СлРЯ, 9, 31",,,,1057 г.,,"Мс҃ца марта. (Матф. XX, 1) Остр.ев., 267 об.",календарная лексика,,,
масский,,μᾶς:ἡμας,прил.,,"масуский, мазовский (ФГcэ, III, 123)",,,,,,"ФГcэ, III, 123",,,,,,,,,,
мастерити,,,,,,,,,Отделывать.,,"СлРЯ, 9, 37",,,да,1631 г.,,"Келью внутри мастерили 4 ал҃тна. Кн.расх.Свир.м. № 6, 46 об.",,,,
мастерица,,,ж.,,,,,,"Работница, занимающаяся рукоделием (шитьем золотом и т.п.).",,"СлРЯ, 9, 37",,,да,XVI в.,,"Всякои мастерици самои гс҃дрнѢ [подобает] прядено и шолкъ и золото... отвѢсити. Дм., 87.",,,,
мастеришко,,,м.,,,,,,Уменьш.-уничиж. к мастеръ (в знач. 2).,,"СлРЯ, 9, 37",,,да,1597 г.,,"Портной мастеришко. Ряж.дес., 424.",,,,
мастероватый,,,прил.,,,,,,"То же, что мастеровитый.",,"СлРЯ, 9, 37",,,,1670 г.,,"ЗвѢриных и птичьихъ ловцовъ нигдѢ смышленѢе и мастероватѢе нѢтъ какъ московские люди. Козм., 267.",,,,
мастеровитый,,,прил.,,,,,,Искусный.,,"СлРЯ, 9, 37",,,,1685 г.,,"Ловцовъ звѢриныхъ и птичьихъ нигдѢ смышленѢе и мастеровитѢе нѢтъ, как московские люди. Орбис Тер., 61 об.",,,,
мастеровой,,,прил.,,,,,,1. Принадлежащий мастеру.. 2. Являющийся мастером.,,"СлРЯ, 9, 37-38",,,,1560 г.,,"Да за манастыремъ дворы манастырскые... а въ нихъ живут попъ да дияконъ да слуги манастырскые и всякие мастеровые люди и рыболове, и перевозщики. Костр.ст., 5.",,,,
мастеровъ,,,прил.,,,,,,Прил. к мастеръ (в знач. 3).,,"СлРЯ, 9, 37",,,,XVI в.,XIV в.,"И зряху мастерово [иконного мастера] написание. Изм., 387.",,,,
мастерой,,,прил.,,,,,,"Являющийся мастром, искусный в каком-л. деле.",,"СлРЯ, 9, 38",,,да,XVII-XVIII вв.,XVII в.,"Аще которой мастерой человѢкъ учнетъ меня держатца, аз бо сотворю его ленива, и руки его станутъ дрожать, и дѢлать ничего не восхощетъ. Притча о хмеле, 448.",,,,
мастерокъ,,,м.,,,,,,Мастер-ремесленник.,,"СлРЯ, 9, 38",,,да,XVI-XVII вв.,,"Да толко лучитца мастерокъ свои портнои и сапожьнои, и плотникъ, ино во всякомъ запасе и в остатках и в обресках прибыль будет или к новому портищу остатки пригодятца, или ветчаново починить, а ты тово прикупаешь. Дм.К., 40.",,,,
мастеропѢние,,,с.,,,,,,"Стиль пения (распева), созданный тем или иным мастером.",,"СлРЯ,9, 38",,,да,1668 г.,,"Во осмом же гласѢ в нѢкоем лицѢ сия сложития поется в четыре степени и то усолским мастеропѢнием. Азбука знам., 15.",,,,
мастерская,,,ж.,,,,,,"Мастерская (помещение, где работают мастера).",,"СлРЯ, 9, 38",,,да,1614 г.,,"Взятъ тотъ шолкъ въ верхъ въ мастерску. Кн. прих.-расх. Каз.пр., 86.",,,,
мастерски,,,нареч.,,мастерско,,,,"Искусно, образцово, мастерски.",,"СлРЯ, 9, 38",,,да,1615 г.,,"Солити рыба длинная и косячная, осетры и бѢлу(ги) и шевриги, по вся дни, мастерски. АЮБ II, 791.",,,,
мастерский,,,прил.,мастерской,,,,,"1. Относящийся к мастеру (искусному, сведущему в каком-л. деле человеку). 2. Относящийся к ученому медику, лекарю.",,"СлРЯ, 9, 38",,,,XV-XVI вв.,XV в.,"[Церковь] не... хытростми утворена или мастерскыми козньми и умышлении и догады. Ж.Стеф.Перм.Епиф., 22.",,,,
мастерство,,,с.,,,,,,"1. Работа в качестве мастера, главного, старшего в каком-л. деле. 2. Ремесло, занятие, дело. 3. С определением. Манера или качество исполнения.",,"СлРЯ, 9, 38-39",,,да,1552 г.,,"И часовню намъ поставить на церквѢ, и взяти намъ отъ того дѢла за стѢнщики и за мастерство девяносто рублевъ. АЮБ II, 776.",,,,
мастеръ,,,м.,,,,,,"1. Глава, начальник; смотритель. 2. Магистр, глава средневекового духовно-рыцарского ордена. 3. Сведущий в каком-л. деле человек, имеющий право руководить работами; мастер. 4. Учитель. 5. Лекарь, врач; ученый, сведущий в медицине.",,"СлРЯ, 9, 36",,,,1225 г.,,"Аже будѢть вл҃дцѢ или мастерови, или которому судьи гнѢвъ на которого немьчица... а будѢть тотъ дълженъ немьчиць смолнянину, перѢже дати ему тъваръ смолнянину. Смол.гр., 11.",,,,
мастерья,,,"ж., собир.",,,,,,Собир. к мастеръ (в знач. 3).,,"СлРЯ, 9, 39",,,да,1599 г.,,"На МосквѢ куплено шолку... дано семнатцать алтынъ да мастерьи дано полтина... Да мастерьи же куплено хлѢбовъ и колачей на девять денегъ. Кн.расх.Болд.м., 159.",,,,
мастика,,μαστίκα,ж.,мастига,,,,,"Смола, получаемая из некоторых пород мастикового дерева (употреблялась в качестве лекарственного вещества, при изготовлении красок, лаков и олифы).",mastix lentiscus,"ФГcэ, III, 123; СлРЯ, 9, 39",,,,XVI в.,1113 г.,Въ томъ бо островѢ ражается мастика (по др.сп. мастига). Дан. иг (Нор.6).,,,,
мастиковый,,,прил.,,,,,,Относящийся к мастике.,,"СлРЯ, 9, 39",,,да,1653 г.,,"По горамъ растетъ кипарисъ дикой да финиково и мастиково дерева. Арс.Сух. Проскинитарий, 30.",,,,
мастропа,,μαστροπός,"ж.
",матропа,,,,,?,,"СлРЯ, 9, 40",,,,XV в.,XII в.,"Саулъ же бѢ въ печали мнозѢ и въ скорби о ц҃рствѢ, шед къ мастропѢ металцѢ... мастропа же метнувши и реч<е> ему. Палея ист., 154.",,,,
масъ,,μᾶς:ἡμας,мест.,,,,,,,pronom.,"ФГcэ, III, 123",,,,,,,,,,
масы,,μᾶς:ἡμας,мест.,,,,,,,,"ФГcэ, III, 123",,,,,,,,,,
масыги,,μᾶς:ἡμας,мест.,масыки,,,,,,,"ФГcэ, III, 123",,,,,,,,,,
математика,,,ж.,мафематика,,через польск.matematyka или лат. mathematica (ars) из греч. μαθηματική,,,"Наука о числах (величинах), математика.",,"СлРЯ, 9, 41",,,,1672 г.,,"8 словеса суть источницы всех доводов у мафематики. Спафарий. Кн.избр. вкратце, 27.",,,,
математикъ,,,м.,матиматикъ,,,,,"Ученый, занимающийся наукой о числах (величинах); математик.",,"СлРЯ, 9, 41",,,,XV в.,,"О нихъ же всѢхъ погонити и повѢдовати иже суть изволилѢ зовомии матиматици. Шестоднев Ио.екз.2, 112.",,,,
математицкий,,,прил.,мафематицкий,,,,,"То же, что математический.",,"СлРЯ, 9, 41",,,,XVII в.,XVI-XVII вв.,"Та варварская земля есть началная часть Африки... Живутъ въ ней люди чермные, а которые въ городахъ живутъ суть просужими въ мафематицкихъ наукахъ и въ архитектурѢ. Козм. II, 506.",,,,
математический,,,прил.,,,,,,"Относящийся к математике, астрономии, инженерному делу, артиллерии и другим сферам деятельности, где используются расчеты, производятся вычисления.",,"СлРЯ, 9, 41",,,,1706 г.,,"Школу математическую, ради изучения рускому народу въ наукѢ инжиниерской, бомбардирско(й) и пушкарской устроилъ. Петр, V, 719.",,,,
матизма,,ιματισμόν,ж.,матезма,матизмъ,,,,Одежда.,,"СлРЯ, 9, 44",,,,1144 г.,,"И о матизмъ мои меташя жребья (ιματισμόν). (Ио. XIX, 24) Четвероев.",,,,
мафиматийский,,,прил.,,,,,,"Относящийся к математике и атрономии, служащий для вычислений.",,"СлРЯ, 9, 48",,,,1692 г.,,"Мафематийския орудия, два глобоза, органы большие, четверы часы большие жъ. Арх.бум. Петра, I, 133.",,,,
мафиматикийский,,,прил.,,,,,,"Относищийся к математике, астрономии и другим наукам, где делаются вычисления.",,"СлРЯ, 9, 48",,,,XVII в.,,"Мафиматикийския книги - отреченные книги, ихже есть четыре: арифматикия, еже есть - планиты; мусикия; гиометрия, астрономия. Алф.1, 136 об.",,,,
мафиматико,,μαθηματικόν,с.,,,,,,"Имеющее отношение к науке о числах (величинах), к счету (буквальное воспроизведение греч. формы μαθηματικόν).",,"СлРЯ, 9, 48",,,,XVI в.,XV в.,"ПосредѢ же зрителнаго еже въ присносущихъ и чювственыхъ, еже есть звѢздозаконное и мафиматико ('αστρονομικον και μαθηματικόν). (Дионисий Ареопаг.) ВМЧ, Окт. 1-3, 777.",,,,
мафиматический,,,прил.,,,,,,"Относящийся к математике, астрономии и другим наукам, где делаются вычисления.",,"СлРЯ, 9, 48",,,,1672 г.,,"[Арифметика] есть первая и честнейшая между всеми мафиматическими учении, понеже вся от нея вземлются, наипаче геометриа. Спафарий. Кн.изобр. вкратце, 35.
",,,,
мафиматъ,,,м.,,,,,,"Ученый, занимающийся наукой о числах (величинах), счете, математик.",,"СлРЯ, 9, 48",,,,XVI в.,,"Астрологовъ и астрономовъ... и мафиматовъ. Посл.Филоф., 36.",,,,
махаль,,μαχαίρι<μαχαιρα,м.,,,,,,,,"ФГcэ, III, 123",,,,,,,,,,
махама,,μαχμα,ж.,,,,,,Одеяло.,,"СлРЯ, 9, 48",,,,1499 г.,,"И приа махаму и намочи въ воду и възложи на лице свое и умре (το μαχμα). (4 Цар. VIII, 15) Библ.Генн.",,,,
махари,,μαχαίρι<μαχαιρα,мн.ч.,,,,,,,,"ФГcэ, III, 123",,,,,,,,,,
махарь,,μαχαίρι<μαχαιρα,м.,"махаль, махалъ, махеръ, махерь, махиръ",,,,,,,"ФГcэ, III, 123-124",,,,,,,,,,
махина,,,ж.,,,"Возм., через польск machina из лат. machina от греч.-дор. μαχανά, атт. μηχανή.",,,"Военное приспособление, машина, башня, которые использовались во время осады.",,"СлРЯ, 9, 49",,,,1499 г.,,"Но и стрѢлницы древяныя на нихъ крѢпкы защищающи: на единых звѢрехъ и на ихъ махинахъ. (1 Мак. VI, 37) Библ. Генн.",,,,
маюнъ,,μαιούνιον<μαρούλιον,м.,мяунъ,,,,,,valeriana major,"ФГcэ, III, 123",,,,,,,,,,
мегистанъ,,μεγιστᾶνος,м.,магистанъ,,,,,"Властитель, властелин, вельможа.",nobilis,"ФГcэ, III, 124; СлРЯ, 9, 53",,,,XVI-XVII вв.,XVI в.,"Егда хощеши сонитися съ сопротивными на брань, то вси стратиги и мегистаны, и магистры, и тысящники... идяху со обнаженными мечи. Каз.лет., 459.",,,,
медимонъ,,μεθ΄ ἡμῶν,м.,"нефимонъ, ефимонъ",,,,,,officium vespertiunum,"ФГcэ, III, 124",,,,,,,,,,
мелагрия,,μελαγρία,ж.,,мелагръ,,,,"То же, что мелагръ",,"СлРЯ, 9, 77",,,,XIII в.,,"И исыпа [Сава] изъ дризы своея прѢд ними [сарацинами] нѢ имыи иного ничьсоже, нъ корѢние мелагрии и ср҃дца тръстяная. Ж.Сав.Осв., 59.",Названия растений.,,,
мелагръ,,,м.,,мелагрия,,,,Название растения.,,"СлРЯ, 9, 77",,,,XVI-XVII вв.,XVI в.,"Се ли убо есть образ первоначалных пустынножитель... иже живяше под именем, и ядый прутие былия мелагра и мед дивий, и чаша его пригорща бе. Ерм.-Ер. Соч., 200.",Названия растений.,,,
меланхоликъ,,,м.,,,,,,"Человек, склонный к меланхолии.",,"СлРЯ, 9, 77",,,,1670 г.,,"Лекс. полоно-словен., 104 об.",,,,
меланхолия,,μελαγχολία,ж.,меленхолия,,,,,"Угнетенное состояние, ипохондрия.",,"СлРЯ, 9, 77",,,,XVI в.,,"Воды... множат мелавхолию [так в рукоп. и изд.]. Назиратель, 130.",Названия болезней,,,
мелесъ,,μέλας [χόλος],ж.,,,,,,Желчь.,,"СлРЯ, 9, 78",,,,XVI в.,,"Из них же рожается мелес, яже есть чръная жлъчь. (Сбор.Троицк.Стих дв.мес.) П.отреч. II, 402.",,,,
меликратъ,,μελίκρατον ‘медовый напиток’,м.,,,,,,"О напитке, приготовленном на меду.",,"СлРЯ, 9, 79",,,,XVII в.,1534 г.,"Съ сытою или с меликратомъ, а то есть вино. Травник Любч., 583.",,,,
мелилотный,,,прил.,милилотный,,,,,Прил. к мелилотъ.,,"СлРЯ, 9, 79",,,,1651 г.,,"Пластырь мелилотной простой. Мат.медиц., 142.",,,,
мелилотовый,,,прил.,,,,,,Прил. к мелилотъ. Мелилотова трава - донник.,,"СлРЯ, 9, 79",,,,XVII в.,1534 г.,"Мелилотова трава. Травник Любч., 438.",,,,
мелилотъ,,μελίλωτον,м.,милилотъ,,,,,Донник.,,"СлРЯ, 9, 79",,,да,1673 г.,,"Травъ сушеныхъ... цыхории 180 пучковъ, милилоту 100 пучковъ. ДТП I, 1680.",,,,
мелисовый,,,прил.,,,,,,Относящийся к мелиссе.,,"СлРЯ, 9, 79",,,,XVII в.,1534 г.,"Мелисова трава. Травник Любч., 117.",,,,
мелисъ,,,"м.
",милесъ,мелиса,лат. Melissa  от греч. Μέλισσα,,,Название медоносного растения (мелисса).,,"СлРЯ, 9, 79",,,,1676 г.,,"На запасномъ дворѢ въ погребахъ... травъ: 100 пучковъ роману, 400 пучковъ зори... 206 аучковъ милесу. ДТП I, 227.",,,,
мелитный,,,прил.,,,,,,"То же, что мелилотный (?).",,"СлРЯ, 9, 79",,,да,1676 г.,,"[Корени] мелитного 20 гривенокъ. ДТП I, 285.",,,,
мера,,μέρα:ἡμέρα,ж.,,,,,,,dies,"ФГcэ, III, 124",,,,,,,,,,
мерида,,μερίδα,ж.,,,,,,"Часть, доля чего-л. (ср. греч. μερίδα - одна из четырех частей, на которые делили святой хлеб при причастии).","sacra hostia, quae communicantibus distribuitur","ФГcэ, III, 124; СлРЯ, 9, 98",,,да,1653 г.,,"И вторую часть, сирѢчь мерида крошку малую... положитъ ниже первыя. Арс.Сух. Проскинитарий, 289.",,,,
мерсина,,μυρσίνη,ж.,мирсина,,,,,Мирт (дерево и плод).,,"СлРЯ, 9, 104",,,,XIV в.,,"ВмѢсто прута взыде кипарисъ, вмѢсто же праха взыд<е> мирсина и будеть во имя г҃сне. Служ.Серг., 1.",,,,
мерсинокукка,,,ж.,,,,,,Плод мирта.,,"СлРЯ, 9, 104",,,,1705 г.,,"Сотвори пепелъ от мерсинокуккъ, сирѢчь миртинскаго плода, и верзи и въ цр҃ковное егда варится, и даетъ ему  доброе бл҃говоние (μερσινόκουκκα). Кн.землед., 45 об.",,,,
мерухъ,,μέρα:ἡμέρα,,,,,,,,,"ФГcэ, III, 124",,,,,,,,,,
мерушница,,μέρα:ἡμέρα,ж.,,"мирюля, бирюля (ФГcэ, III, 124)",,,,,,"ФГcэ, III, 124",,,,,,,,,,
