,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
зычливость,,życzliwość,ж.,,,,,,Доброжелательность.,,"СлРЯ, 6, 72",,,"АИ II, 357. 1610 г.",,,"M 1570, C 1610, RD IV, RD III",,,,
зычливый,,życzliwy,прил.,,,,,,"Благоволящий кому-л., желающий добра. || Доброжелательный.",,"СлРЯ, 6, 72",,,"Дон.д. II, 438. 1642 г.; Петр, IV, 615. 1706 г.; Петр, VII, 348. 1708 г.",1642,,"А внизу у того листа припись: Вамъ всего добра зычливы и ради служити. Дон.д. II, 438. 1642 г.",,,,
игольникъ,,igielnik,м.,,,,,,"Коробочка, футляр для хранени иголок.",,"СлРЯ, 6, 79",,,"Там.кн.Тихв.м., №1343, 60. 1667 г.",1667,,"Явилъ... ·т҃· иголников жестяных. Там.кн.Тихв.м., №1343, 60. 1667 г.",,,,
идея,,idea,ж.,,,,,,,,"Фасмер, II, 117",,,,,,SAT kon. 17 w.,,,,
иезуит,,jezuita,,,иезовит,,,,,,,,,,,,"E2 16 w., C 1648 [-зови-]",,,,
иезуитский,,jezuicki,,,,,,,,,,,,,,,"VK2 1643, SM",,,,
ижъ ||иже,,iż,,,,,,,,,,,,,,,"PDS I(52) 1490, DAM, R(71)",,,,
ижбы,,iżby,,,,,,,,,,,,,,,"Мух.сб. (4) 1447, Рим.имп.д.I (53) 1490",,,,
из стародавна,,ze starodawna,,,,,,,,,,,,,,,K 1492,,,,
императоръ,,imperator,м.,,,,,,Император.,,"СлРЯ, 6, 231; Фасмер, II, 129",,,"Курб.Пис., 411. XVII в. ~ XVI в.; Алф.1, 94 об. XVII в.",XVII в.,XVI в.,"Неудобно бываетъ человѣку грубому и неученому, и еще къ тому умом врежденному, императоромъ быти. Курб.Пис., 411. XVII в. ~ XVI в.",,,,
императорский,,imperatorski,,,,,,,,,,,,,,,OT 1698,,,,
империя,,imperia,ж.,,,,,,"Империя, государство.",,"СлРЯ, 6, 231; Фасмер, II, 129",,,"Курб.Ист., 305. XVII в. ~ XVI в.",XVII в.,XVI в.,"[Степан Сидоров] служаше много лѣтъ, ажъ до осмидесяти лѣтъ, вѣрне и трудолюбне зело империи Святорускои. Курб.Ист., 305. XVII в. ~ XVI в.",,,,
инвенция,,inwencja,ж.,,,,,,,,"Фасмер, II, 130",,,,,,"L 1679, V 1705, P - L ссылается на Дилецкого, ""Идея грам. мусикийской"" 1679 г., с. 107: ""О инвенции - о изыскании пения""",,,,
инженер,,inżynier,,,,,,,,,,,,,,,"L 1635, S 1678, P 1731 ||инжинер C 1647 || ингениер Основ.Царьгр. (39) - L ссылается на X (Gardiner, German Loanwords in Russian), с. 108-109 ",,,,
инженерский,,inżynierski,прил.,,,,,,,,"СлРЯ, 6, 236",,,"Штурм.Архит.воин., 3. 1709 г.; Докл. в Сенате, I, 388. 1711 г.",1709,,"В благоугодное время вы ко мнѣ нынѣ пришли. Ибо я передъ нѣсколкими днями изрядную книгу инженерскую... получилъ. Штурм.Архит.воин., 3. 1709 г.",,,,
инженерство,,inżynierstwo,с.,,,,,,Инженерная наука.,,"СлРЯ, 6, 236",,,"ДАИ XII, 50. 1697 г.",1697,,"И они де училися тому жъ бомбардирному инженерству въ томъ же городѣ Колывани онъ Ульрихъ и товарищъ его. ДАИ XII, 50.  1697 г.",,,,
инквизитор,,inkwizytor,м.,,,,,,,,"Фасмер, II, 133",,,,,,L 1667,,,,
инкогнито,,incognito,,,,,,,,,,,,,,,"Z, SM",,,,
иноходникъ,,inochodnik,м.,,,,,,"То же, что иноходецъ: иноходец, лошадь, идущая иноходью, т. е. попеременно вынося и опуская то обе правые, то обе левые ноги.",,"СлРЯ, 6, 244",,,"Польск.д.III, 750. 1570 г.",1570,,"Пустилъ на дворѣ коня стракатого, а другого коня иноходника сивого зъ сѣдломъ не отдалъ. Польск.д.III, 750. 1570 г.",,,,
инспекторъ,,inspektor,м.,,,,,,"Тот, кто осуществляет надзор, контроль.",,"СлрЯ, 6, 245–246; Фасмер, II, 135",,,"ДАИ VIII, 22. 1680 г.; Мат.медиц., 1093. 1679 г.; Лекс.вокаб.нов., 369. XVIII в.",1680,,"Бьютъ челомъ холопи твои Оптекарскаго приказу дохторы и инспекторъ, аптекари, алхимисты, лекари. ДАИ VIII, 22. 1680 г.",,,,
инсталляция,,instalacja,,,,,,,,,,,,,,,SM,,,,
инструкция,,instrukcja,ж.,,,,,,"Наставление, наказ, руководство к чему-л.",,"СлРЯ, 6, 246; Фасмер, II, 135",,,"ДАИ VI, 455. 1656 г.; ДАИ XI, 165. 1684 г.; Лекс.вокаб.нов., 370. XVIII в.",,,"E2 1633, C 1656, L 1660",,,,
инструмент,,instrument (muzyczny),,,,,,,,,"Фасмер, II, 135",,,,,,"VK4 1649, C 1673",,,,
инструментъ,,instrument (techniczny),м.,,,,,,Инструмент.,,"Фасмер, II, 135; СлРЯ, 6, 246",,,"Мат.медиц., 1248. 1679 г.; Лекс.вокаб.нов., 370. XVIII в.",,1679,"Да имъ же [лекарям] дано инструментовъ: по шуруму пулечному, по клещамъ пулечнымъ, по ножу кривому, по 2 ланцета. Мат.медиц., 1248. 1679 г.",,,,
инструмент,,instrument (prawny),,,,,,,,,"Фасмер, II, 135",,,,,,OC 1698,,,,
интердикт,,interdykt,м.,,,,,,церковная анафема,,,,,,,,"L1678 - ссылается на ""Годовыя дела церковныя"", с. 1171",,,,
интересъ,,interes,,,,,,,,,"Фасмер, II, 136",,,,,,"O 1698, V 1703, S 1710",,,,
интерлюдия,,interludium,,,,,,,,,"Фасмер, II, 136",,,,,,E2 17/18 w. ,,,,
интермедия,,intermedium,,,,,,,,,"Фасмер, II, 136",,,,,,H 1685,,,,
интернунциус,,internuncjusz,,,,,,,,,,,,,,,F,,,,
интеррегнум,,interregnum,,,,,,,,,,,,,,,"LP 16/17 w., S 1707 ",,,,
интрата,,intrata,,,,,,,,,,,,,,,A 1698,,,,
инфлюэнция,,influencja,,,,,,,,,,,,,,,"SM, A 1709",,,,
инший,,inszy,прил.,инъший,,,,,"Иной, другой.",,"СлРЯ, 6, 246",,,"ААЭ I, 81. 1478 г.; Польск.д.I, 15. 1488 г.; Турц., 19. 1675 г.",1478,,"Инъшии мѣщане съ ними приѣхали да Куконоса, до того велебъного преосвещеннаго арьцибисъкупа Селивестра. ААЭ I, 81. 1478 г.",,,,
инший,,inszy,прил.,инъший,,,,,В знач. сущ.,,"СлРЯ, 6, 246",,,"СГГД V, 22. 1497 г.; АИ II, 423. 1613 г.",1497,,"Чтоже мимо насъ со иншими въ приязнь заходишь. СГГД V, 22. 1497 г.",,,,
ипокрас,,hipokras (rodzaj wina),,,,,,,,,,,,,,,L 17 w. por.: кларет,,,,
ирха,,ircha,ж.,ирга,,,,,"Шкура животного, обработанная под замшу.",,"СлРЯ, 6, 250; Фасмер, II, 139",,,"Кн.прих.-расх.Ант.м. №1, 35. 1575 г.; А.Моск.печ.дв., 26. 1649 г.; АЮБ III, 262.1662 г.; Сл.Ридлея",1575,,"6 телятин дѣлал на ирхи. Кн.прих.-расх.Ант.м. №1, 35. 1575 г.",,,,
иршаный,,irszany,прил.,иршеный,,,,,Сделанный из замши (ирхи).,,"СлРЯ, 6, 250",,,"А.Соловьева, №144, 2. 1594 г.; Устав ратных д.II, 214. XVII в.; Росп.им.Н.Ром., 57. 1657 г.",1594,,"В том же струг<е> тритцет<ь> концов холсту тонкова да пятсот портищъ пугвиц иръшеных, да пятнатцет<ь> шуб бараних. А.Соловьева, №144, 2. 1594 г.",,,,
истѣ,,"iście, zaiste",нареч.,,,,,,"Верно, истинно.",,"СлРЯ, 6, 315",,,"Курб.Ист., 184. XVII в. ~ XVI в.; Ав.Кн.толк., 466. 1677 г.",XVII в.,XVI в.,"И еще къ тому тогда иную хитрость изобрѣте царь казанскии противъ насъ. Яковую же? Молю, повѣждь ми. Исте таковую. Курб.Ист., 184. XVII в. ~ XVI в.",,,,
истнеть,,istnieć,,,,,,,,,,,,,,,MP 17 w.,,,,
истность,,istność ,ж.,,,,,,,,"СлРЯ, 6, 324",,,"Алф.1, 99. XVII в.",XVII в.,,"Истность, существо. Алф.1, 99. XVII в.",,,,
истота,,istota,,,,,,,,,,,,,,,"N, D",,,,
каббалистичный,,kabalistyczny,,кабалистичный,,,,,,,,,,,,,SOB(154) 17 w. [каба-],,,,
кавалеръ,,kawaler,м.,,,,,,Рыцарь; дворянин.,,"СлРЯ, 7, 10; Фасмер, II, 152",,,"Курб.Ист., 254. XVII в. ~ XVI в.; Орбис Тер., 148 об. 1685 г.",XVII в.,XVI в.,"И недавно воиско отъ того же Сулимана посланное поразиша подъ нимъ [Милетом] и дву пашеи великихъ убили ковалери опатовы, помогающи ему кралеви Гишпанскому и папе. Курб.Ист., 254. XVII в. ~ XVI в.",,,,
"кавалерия- в значении 'конница' есть более ранняя фиксация у L, который ссылается на ""Театрум света всего"" (пер. до 1681 г.), см. SOB 56-57",,kawaleria,ж.,,,,,,Конница.,,"СлРЯ, 7, 10; Фасмер, II, 152",,,"Ф.Прокопович Сл, 8. 1706 г.; Пох.журн., 2. 1707 г.",1706,,"Зритъ весь миръ избранныи твои полки: удивляются иноземнии кавалерии российской. Ф.Прокопович. Сл., 8. 1706 г. ""Театрум света всего"" (до 1681 г.), цитата: ""бодренно учатся в кавалерии""",,,,
кавалерия,,kawaleria,ж.,,,,,,"Орденское звание, а также знак отличия, орденская лента.",,"СлРЯ, 7, 10; Фасмер, II, 152",,,"Арх.Курак.I, 257. 1699 г.; Петр, I, 336. 1700 г.",1699,,"Того года началась въ нашемъ государствѣ кавалерия святаго Андрея; и первая одна Федору Головину, другому — гетману Мазепѣ. Арх.Курак.I, 257. 1699 г.",,,,
кавалерский,,kawalerski,прил.,,,,,,Свойственный кавалеру (дворянину) или достойный кавалера.,,"СлРЯ, 7, 10",,,"Док.нем.шк., 55. 1705 г.",1705,,"FG1 1668, S 1696",,,,
кавалерский,,kawalerski,прил.,,,,,,Относящийся к кавалерии.,,"СлРЯ, 7, 10",,,"Докл. в Сенате, II, 108. 1712 г.",1712,,"Надобно въ армию, въ кавалерские и инфантерские полки въ комплетъ рекрутъ и лошадей и аммуниции отправить не мотчавъ. Докл. в Сенате, II, 108. 1712 г.",,,,
каденция,,kadencja,ж.,,,,,,"Гармонический оборот, имеющий характер заключения, остановки, разграничения; каденция.",,"СлРЯ, 7, 11",,,"Мусик.грам.Дил., 85. 1681 г.",1681,,"Зри: како имаши коденцие, сирѣчь падежи, писати. Имати здѣ образы, и се во вторыхъ гласахъ. Мусик.грам.Дил., 85. 1681 г.",,,,
казанье,,kazanie,,,,,,,,,,,,Сл.Ридлея,,,"RID, C 1638 s.v. ксендз",,,,
казать,,kazać,,,,,,,,,,,,,,,"DAM, D",,,,
казематы,,kazematy,,,,,,,,,"Фасмер, II, 159",,,,,,SM,,,,
казнодѣй,,kaznodzieja,м.,,,,,,Проповедник.,,"СлРЯ, 7, 25",,"Основ.Царьгр., 23. XVII в.","РИБ II, 617. 1624 г.",1624,,"У казнадѣя былъ и секраментъ принималъ. (Расспросные речи) РИБ II, 617. 1624 г.",,,,
каламарь,,kałamarz,м.,каломарь,,,,,Чернила.,,"Фасмер, II, 164; СлРЯ, 7, 32",,,,,,"AK 14 w., C 16 w., 17 w.",,,,
календарь,,kalendarz,м.,календаръ,,,,,"Способ счисления дней в году, календарь.",,"СлРЯ, 7, 34; Фасмер, II, 166",,,"Куранты2, 59. 1643 г.; АИ IV, 259. 1658 г.; Петр, I, 169. 1697 г.",,,"S 1592–1593, L 1614, P 1704",,,,
калибръ,,kaliber,м.,калибер,,,,,"Диаметр канала ствола у орудия, измерявшийся как линейными мерами, так и весом соответствующего ядра; калибр.",,"СлРЯ, 7, 35; Фасмер, II, 166",,,"Петр, I, 284. 1699 г.; О воин.Цез., 300. 1711 г.",,,"А естьли здѣлать желѣзные же кованыя пушки въ пол-2 фунта ядром и въ 9 или въ 10 калиброфъ долиною. Петр, I, 284. 1699 г.",,,,
кальвинъ,,kalwin,м.,,кальвинецъ,,,,Кальвинист.,,"СлРЯ, 7, 39; Фасмер, II, 171",,,"Куранты1, 103. 1628 г.; Д.Шакловит. I, 162. 1689 г.",,,"Пѣснь... что составили езовитяне ругаючися второму псалму пророка и цр҃я Давыда не на честь, но на поруган<ь>е евангиликом, а поют тое пѣснь в цесаревых полкѣхъ, чего для волнуютца калвины, а воюютца лютари напрасно. Куранты1, 103. 1628 г.",,,,
кальвинский,,kalwiński,прил.,,,,,,,,"СлРЯ, 7, 39",,,"РИБ II, 639. 1624 г.; Прения кор.Вальд., 312. 1645 г.",,,K1 1607 s.v. голдовать; C 1624; Z,,,,
кальвинство,,kalwiństwo,с.,,,,,,Кальвинизм.,,"СлРЯ, 7, 39",,,"Суб.Мат.IV, 204. 1666 г.",,,"Еллинство, и латынство, ариянство, и люторство, и кальвинство обличиша. (Росп.Лаз.) Суб.Мат.IV, 204. 1666 г.",,,,
калюмния,,kalumnia,,,,,,,,,,,,,,,SM,,,,
каменица,,kamienica,ж.,,каменница,,,,Каменное здание.,,"СлРЯ, 7, 42",,,"СГГД IV, 32. 1658 г.; Шерем., 1606. 1699 г.",,,"Какъ будетъ въ Вильнѣ требуналъ, и чтобъ депутаты требунальские со всякаго повѣта наймовали каменицы своимъ коштомъ. СГГД IV, 32. 1658 г.",,,,
каменовати,,kamienować,глаг.,,,,,,"Убивать, забрасывая камнями (род публичной казни).",,"СлРЯ, 7, 43",,,,1686,,"Далече отъ тѣхъ [ворот], яко ступеней 200, есть мѣсто идѣже каменоваша первомученика Стефана. Проскинитарий Арс.К., 43. 1686 г.",,,,
кампан,,kampana||kampan,,,,,,,,,,,,,,,L1681,,,,
камповать,,kampować,,,,,,,,,,,,,,,SM,,,,
камфора,,kamfora,ж., канфара,"канфар, канфара",,,,,,,,,,,,"L1489,A1769,P1780 - L сылается на Сборник Императорского Русского Исторического Общества. - СПб., 1867-1916. (т. 35, с. 31; т. 38, с. 435). Т 35 (1882 г.), цитата: ""да гривенку ревеню, да другую канфару"", т. 38 (1883 г.), цитата: канфара (через фиту)",,,,
каналъ,,kanał,м.,,,,,,Канал.,,"СлРЯ, 7, 52",,,,,,"C 1644, 1698, P 1731",,,,
кандидат,,kandydat,,,,,,,,,,,,,,,"E2 1673, P 1762",,,,
каникула,,kanikuła,ж.,,,,,,Название Сириуса — самой крупной звезды в созвездии Большого Пса.,,"СлРЯ, 7, 54",,"Назиратель, 266. XVI в.",,XVI в.,,"Восходитъ ...звѣзда которую нарицают каникула, сиирѣчь песья звѣзда, или псица. Назиратель, 266. XVI в.",,,,
каникулы,,kanikuły,,,,,,,,,"Фасмер, II, 180",,,,,,E2 kon. 17 w.,,,,
каноникъ,,kanonik,м.,,,,,,"Каноник, штатный священнослужитель епархиального кафедрального собора римско-католической церкви.",,"СлРЯ, 7, 56",,,"Польск.д.I, 414. 1503 г.; Львов.лет.I, 374.",1503,,"Ты присылалъ къ намъ своихъ пословъ лятцкихъ и литовскихъ... канцлеря королевы своее Ивашка Сопѣжича, и каноника познанского, секретаря королевства князя Станислава Горетцкого. Польск.д.I, 414. 1503 г.",,,,
кантъ,,kant,м.,,,,,,"Стихи для пения, торжественного или духовного содержания.",,"СлРЯ, 7, 58; Фасмер, II, 181",,,"Пов. о Дракуле2, 164. XVII в.",XVII в.,,"И посла Дракула о кантах и о калигах и о старцах перехожих. Пов. о Дракуле2, 164. XVII в.",,,,
кантыка,,kantyka,,,,,,,,,,,,,,,L 1664,,,,
канцеляриный,,kancelaryjny,прил.,,,,,,"Канцеляриный совѣтникъ — то же, что канцеляръ: государственный чиновник, секретарь, преимущественно при особе правителя, государя.",,"СлРЯ, 7, 60",,,"Петр, I, 295. 1699 г.",1699,,"Король Дацкий... за благо быть изобреѣлъ своего канцеляринаго совѣтника Павла Генса посланникомъ... къ Москвѣ послать. Петр, I, 295. 1699 г.",,,,
канцеляристъ,,kancelarysta,м.,,канцеляриста (Куранты4),,,,"Служащий канцелярии, должностное лицо, ведавшее делопроизводством, повытчик.",,"СлРЯ, 7, 60",,,"Куранты4; А.Уст.II, 50. 1679 г.",1679,,"При томъ подписали въ должности секретаря регистраторъ Акимъ Рудаковъ, канцеляристъ Василии Иноземцевъ. А.Уст.II, 50. 1679 г.",,,,
канцелярия,,kancelaria,ж.,канцлѣрия,,,,,"Государственное учреждение, ведающее делопроизводством.",,"СлРЯ, 7, 60; Фасмер, II, 182",,,"СГГД V, 72. 1517 г.; Лесли, 18. 1638 г.; А.Уст.II, 124. 1695 г.; Ин.Сказ., 90. XVII в.",1517,,"Который приговоръ послѣ себя въ канселарии величества вашего оставилъ. СГГД V, 72. 1517 г.",,,,
канцлеръ,,kanclerz,м.,"канслеръ, канстрелъ, канцлерь, канцверь, канцрель",,,,,"Высший государственный чин, канцлер; государственный чиновник.",,"СлРЯ, 7, 60",,,"АИ IV, 259. 1658 г., АИ I, 86 (16 в.) 
",16 век,1448-1452,"L 15 w., C 1502, K1 1613, P 1731 - L ссылается на грамоту короля Казимира IV моск. митр. Ионе 1448-1452 гг., опубл. в АИ I, с. 86 по рукописи 16 в. Син. 562, л. 101-105: ""панъ Михало канцлеръ""",,,,
канцлерский,,kanclerski,прил.,канслерский,,,,,прил. к канцлеръ,,"СлРЯ, 7, 61",,,"Рим.имп.д.II, 749. 1599 г.",1599,,"Жигимундусъ Батуры въ Полшѣ въ канслерскомъ городѣ и хочетъ итти въ Францовскую землю. Рим.имп.д.II, 749. 1599 г.",,,,
канцлерство,,kanclerstwo,с.,,,,,,Должность и звание канцлера.,,"СлРЯ, 7, 61",,,"АИ IV, 259. 1658 г.",1658,,"А канцлерство дали Христопу Пацѣ. АИ IV, 259. 1658 г.",,,,
капелла,,kapela,,капеля,,,,,,,,,,,,,L 1621 [-еля-],,,,
капеллан,,kapelan,,капелян,,,,,,,,,,,,,"L1658[-еля-],SM",,,,
капелюшъ,,kapelusz,м.,"капелющъ, капелюх (Фасмер)",,,,,Шляпа с полями.,,"СлРЯ, 7, 62; Фасмер, II, 184 (капелюх)",,,,1653,,"Носятъ платье греки мало не все франкское черное, и капелющъ и плюндры и плащь и сапоги и ожерелье. Арс.Сух.Проскинитарий, 21. 1653 г.",,,,
капитан,,kapitan,,,,,,,,,,,,,,,"RE 1580, V 1615",,,,
капитанский,,kapitański,прил.,,,,,,,,"СлРЯ, 7, 63",,,"Дон.д. IV, 298. 1649 г.; Арх.бум.Петра, I, 362. 1692 г.",1649,,"Въ Юрьево мѣсто капитанскую службу служилъ порутчикъ Ондрей Шнитнеръ. Дон.д. IV, 298. 1649 г.",,,,
капитанство,,kapitaństwo,с.,,,,,,Должность и звание капитана.,,"СлРЯ, 7, 63",,,,,,"F, C 1710, P 1804",,,,
капитель,,kapitel,,,,,,,,,,,,,,,"C 1689, P 1731",,,,
капеллан - NB НОВАЯ ЛЕММА!,,kapelan,м.,капелян,,,,,"католический священник, капеллан",,,,,"АМГ, II, 309",1652,,"1652: повели капеляном вовратитися, сам же с попом своим подследствуй (так!) ми. Отписка вяземского воеводы Ив. Хованского о посылке письма литовского выходца игумена Феодосия в Москву. 7160 год (1652). АМГ. II, с. 309",,,,
капланъ,,kapłan,м.,,,,,,Капеллан.,,"СлРЯ, 7, 65; Фасмер, II, 186 (L, ссылаясь на ФАсм., приводит дату из Хождения Зосимы - 1420!)",,"Рим.д., 342. 1688 г.","(1441): Новг.I лет., 420.",1441,,"(1441): [Митрополитъ Исидор] повелѣ в лячкыхъ божницахъ рускымъ попомъ свою службу служити, а в рускыхъ церквахъ капланомъ. Новг.I лет., 420.",,,,
каплица,,kaplica,ж.,,,,,,"Католическая часовня, божница, алтарь.",,"СлРЯ, 7, 65; Фасмер, II, 186",,,"Лесли, 21. 1638 г.; Гавр., 6. XVII в.",1638,,"Быть сонму... король Владиславъ изволитъ близъ костела въ каплицы или гдѣ въ богомолномъ мѣстѣ или въ полатѣ королевской. Лесли, 21. 1638 г.",,,,
капличка,,kapliczka,ж.,,,,,,"Уменьш. к каплица: католическая часовня, божница, алтарь.",,"СлРЯ, 7, 65",,,"Шерем., 1649. 1699 г.",1699,,"Капличка, въ которой... служили ксендзы. Шерем., 1649. 1699 г.",,,,
каплунъ,,kapłon,м.,,,,,,"Кастрированный петух, специально откармливаемый на мясо, каплун.",,"СлРЯ, 7, 65; Фасмер, II, 186",,,"Сл.Ридлея; Барс.Словарь, 78. XVII в.; Арт.повар., 4 об. XVIII в.",XVII в.,,"Каплунъ — capus. Capo gallus eastiatus. Барс.Словарь, 78. XVII в.",,,,
капралъ,,kapral,м.,капранъ,,,,,"Первый военный чин, считая от солдата, капрал.",,"СлРЯ, 7, 66; Фасмер, II, 187",,,"Дон.д.III, 978. 1648 г.; Д.Шакловит.I, 284. 1689 г.; Устав Вейде, 23. 1698 г.","1648 - L дает дату 1632: АМГ I, 376; в форме карпаралъ -  1631, Куранты, 28, 55",,"И я, холопъ твой, въ тѣ чины во всѣ по твоему государеву указу, въ прапорщики и въ сержанты, и въ капралы... выбралъ изъ нихъ старыхъ и добрыхъ молотцовъ. Дон.д.III, 978. 1648 г.",,,,
капралъ,,kapral,м.,капранъ,,,,,(?).,,"СлРЯ, 7, 66",,,"ДАИ X, 98. 1682 г.",1682,,"Въ козенныхъ погребахъ... 7 алибардъ... 40 капраловъ изъ бѣлого желѣза худыхъ и ломаныхъ... Матыка, 3 клещи маленкие желѣзные. ДАИ X, 98. 1682 г.",,,,
капральство,,kapralstwo,с.,,,,,,"Отделение солдат, составляющее обычно четвертую часть роты.",,"СлРЯ, 7, 66",,,"Устав Вейде, 92. 1698 г.; Докл. в Сенате, II (1), 240. 1712 г.; Журн.Петра, II, 587. 1719 г.",1698,,"Сколко рядовъ в капралствѣ есть, а имянно обыкновенно четыре. Устав Вейде, 92. 1698 г.",,,,
капральство,,kapralstwo,с.,,,,,,(?).,,"СлРЯ, 7, 66",,,"ДАИ X, 109. 1682 г.",1682,,"7 барабановъ писаны золотомъ, 8 барабановъ писаны красками, 6 протозановъ, 3 копралства копей на древкахъ съ прапоры. ДАИ X, 109. 1682 г.",,,,
капсула,,kapsuła,,,капсуль,,,,,,,,,,,,MP 17 w. [-суль],,,,
каптур,,kaptur,,,,,,,,,,,,,,,"M 1473, C 1505",,,,
капуцин,,kapucyn,,,,,,,,,,,,,,,"VK3 1645, E2 1698, P 1731",,,,
капуцинский,,kapucyński,прил.,,,,,,,,"СлРЯ, 7, 68",,,"Куранты1, 189. 1638 г.",1638,,"Порутчикъ оборонил и к себѣ взял под свою оборон<ь> которые ево вѣры были в мон(а)стырех капуцинских чернцов и женсково полу жен и девиц. Куранты1, 189. 1638 г.",,,,
капщизна,,kapszczyzna,ж.,,,,,,Пошлина с кружечной продажи питей.,,"СлРЯ, 7, 68",,,"АИ IV, 228. 1654 г.",1654,,"Нашему царскому величеству пожаловати ихъ въ городѣ Могилевѣ кабакомъ, съ торгомъ и капщизною, во владѣнье и до завѣдыванья бурмистровъ. АИ IV, 228. 1654 г.",,,,
карабин,,karabin,м.,,,,,,короткое ружье с широким дулом; короткоствольная винтовка,,"СлРЯ, 7, 70",,,"Акты, собранные в библиотеках и архивах Российской Империи археографическою экспедициею. 1-4. 1836-1838. Т. 3, 1836, с. 468.",,,"L1643, KIP1654, P1704 - L ссылается на царскую грамоту псковскому воеводе князю Ахамашукову-Черкасскому 1643 г.: ""а къ пистолемъ карабиновъ и мерныхъ пищалей не держать"" (Акты, т. 3, 468) ",,,,
караван,,karawana,,,,,,,,,,,,,,,"L1626, Основ.Царьгр.(67); L ссылается на Куранты 15, 16; Основ. Царьгр. гораздо более позднее (1678) ",,,,
каразея,,karazja,ж.,,,,,,Грубошерстная цветная ткань.,,"СлРЯ, 7, 71; Фасмер, II, 191",,,"РИБ II, 565. 1635 г.; Заб.Дом.быт, I, 654. 1696 г.",1635,,"650 половинокъ суконъ еренку и каразеи. (Росп. узор.) РИБ II, 565. 1635 г.",,,,
карб,,karb,,,,,,,,,,,,,,,V,,,,
карбовать,,karbować,глаг.,,,,,,,,"Фасмер, II, 195",,,,,,K1 17 w.,,,,
карбункул,,karbunkuł,,,,,,,,,,,,,,,"C 1670;
NOM(XLIV); P 1731",,,,
карвашъ,,karwasz,м.,,,,,,Металлический обшлаг (часть воинского доспеха).,,"СлРЯ, 7, 77",,,"Кн.зап.Моск.ст. IV, 397. 1679 г.",1679,,"Въ оружейныхъ анбарѣхъ на лицо въ Киевѣ... 1268 паръ латъ, 1110 оплечковъ, 1172 шишака, 550 полъ латныхъ, 243 карваша... тѣ вышеписанные брони... велѣно починить... и тѣ латы и оплечки и шишаки и карваши велѣть роздать, конного строю збрую въ рейтарские полки, а пѣхотного въ выборные салдацкие полки. Кн.зап.Моск.ст. IV, 397. 1679 г.",,,,
кардинал,,kardynał,,гардиналъ,,,,,,,,,,,,,"MP 1437, CM(77) 1503, P 1731",,,,
кардинальский,,kardynalski,прил.,кардыналский,,,,,Принадлежащий кардиналу.,,"СлРЯ, 7, 78",,"Х.Рад., 21. 1628 г.","Куранты1, 48. 1620 г.",1620,,"С кординальскою шляпою. Куранты1, 48. 1620 г. Одеждъ кардыналскихъ употребляет. Х.Рад., 21. 1628 г. ",,,,
кардинальство,,kardynalstwo,,,,,,,,,,,,,17 в.,1678 г.,"L 17 w., MMP 1719 - L ссылается на ""Годовыя дела церковныя"" 1678 г., с. 1130 (SOB 83, сноска 1)",,,,
карета,,kareta,ж.,"корета, корейта",,,,,"Карета, экипаж.",,"СлРЯ, 7, 78; Фасмер, II, 198",,,"Суб.Мат. IV, 292. 1666 г.; Ав.Кн.бес., 303. 1675 г.; Шерем., 1606. 1699 г.",1666,,"Онъ же, Корнилей, здѣлалъ себѣ корету повапленую, и гдѣ ему ѣхати пять верстъ, и ради колесницы ѣздить околнею дорогою дватцеть верстъ. (Росп. Троф.) Суб.Мат. IV, 292. 1666 г.",,,,
каретка,,karetka,ж.,коретка,,,,,уменьш. к карета.,,"СлРЯ, 7, 79",,,"Рим.имп.д. II, 885. 1604 г.; Арх.бум.Петра, I, 205. 1674 г.",1604,,"Добылъ я, холопъ твой, для цесарева посла коретку литовскую плетеную, въ чемъ послу за нужу ѣхать. Рим.имп.д. II, 885. 1604 г.",,,,
карк,,kark,,,,,,,,,,,,,,,"VIR, D",,,,
карла,,"karzeł, karlę",м.,,"карло, карел",,,,Карлик.,,"СлРЯ, 7, 80; Фасмер, II, 200",,,,,,"ON 1458, RID, C 1617, NOM(VI)",,,,
карла,,"karzeł, karlę",м.,,"карло, карел",,,,Карла (придворный шут).,,"СлРЯ, 7, 80",,,"Заб.Дом.быт, II, 673. 1617 г.; Д.съезж.дв., 22. 1695 г.",1617,,"Государь... пожаловалъ карла Ивашка Григорьева, государева жалованья на кафтанъ три аршина камки багровой. Заб.Дом.быт, II, 673. 1617 г.",,,,
карликъ,,karlik,м.,,,,,,,,"СлРЯ, 7, 80",,,"Мат.медиц., 948. 1677 г.; Кн.прих.-расх. Покр.м., 36 об. 1690 г.",,,"LH(280) 16 w., USP 1616, C 1677, P 1792",,,,
