А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
крижмо ,,< χρῖσμα,ж.,,криж(ь)ма,"ср. чеш. křižmo от д.-в.-нем.  chrismo, с.-в.-н. crisme из лат.chisma от греч. χρῖσμα (Фасмер, 2, 376)",,,мазь для благовоний ,,"Срз. I, 1322; СлРЯ, 8, 57; СДРЯ IV, 297",,"ГА XIII – XIV, 117а (СДРЯ IV, 297)",,XIII – XIV вв.,ΧΙ в.,"есть бо медоносна и виноносна страна та добрыхъ весма имощи [так!] купръ и мюроваланъ, рекше крижьмо желудныи. ГА XIII – XIV, 117а (СДРЯ IV, 297)",быт. благовония,,,,,
кризобразъ,,χρυσόπρασος,м.,,,,,,название полудрагоценного камня (хризопраз),,"СлРЯ, 8, 57",,"Козм., 362. 1670 г.",,,1670 г.,"Жемчюга и всякого дорогоцѣнного камения по берегамъ морскимъ находится множество, то есть камень адамантъ, берил, кризобраз, карбункул. Козм., 362. 1670 г.",природа. драгоценные камни,,,,,
криликъ,,κληρικός,м.,клирикъ,,,,,"член клира, священнослужитель ",,"Срз. I, 1323; СДРЯ IV, 297",,"ГА XIII – XIV, 213в (СДРЯ IV, 297)",,XIII – XIV вв.,ΧΙ в.,"да криликъ не поимаеть жены. ГА XIII – XIV, 213в (СДРЯ IV, 297)",религия. богослужебные должности,,,"крилошанинъ, клирошанинъ, клирикъ, крылошанинъ, клиросникъ ",,
крилосъ,,κλῆρος,м.,"клиросъ, крылосъ",,,,,"1. место в церкви, где стоят чтецы и певцы. 2. церковный приют, клир. ",,"Срз. I, 1323-1324; СлРЯ, 8, 95; СДРЯ IV, 297-298",,"КЕ XII, 208б (СДРЯ IV, 297)","Лавр.лет., 107. 1377 г.; Новг. I лет., 357. XV в.; Церк.устав Влад., 23. XVI в.",XII в.,,"по крьщении же въ клиросъ. приведенъ бысть. да прѣбываеть въ крилосѣ. (ἐν τῷ κλήρῳ). КЕ XII, 208б (СДРЯ IV, 297)",религия. убранство храма,,,клиросъ,,
крилошанинъ,клиръ,,м.,,,,,,"член клира, священнослужитель ",,"Срз. I, 1324; СлРЯ, 8, 95; СДРЯ IV, 298",,,"Надп XII (23) (СДРЯ IV, 298); Рог.лет., 80. XV в.",,,"даи козу мою хо-хо-хо крълошани-инъ святи богоро-одици. Надп XII (23) (СДРЯ IV, 298)",религия. богослужебные должности,,,"клирошанинъ, клирикъ, крылошанинъ, криликъ, клиросникъ",,
криновый,кринъ1,,прил.,,,,,,"относящийся к кринъ1 (""лилия"")",,"СлРЯ, 8, 58",,,,,,"И цвѣтъ криновъ красенъ травѣ утвръжая. (Стихия дв. мес.) П. отреч. II, 403. XVI в.",искусство. краски,,,,,
кринъ1,,κρίνον,м.,,крина,,,,"лилия, а также полевой цветок вообще ",lilium,"ФГcэ, III, 101; Срз. I, 1324; СлРЯ, 8, 57; СДРЯ IV, 298","SJS II, 65; Грц.макед., 158","(Мф. VI, 28) Остр.ев., 62 об. 1057 г.","Пов.Кат.-Ростовского1, 621. XVII в.",1057 г.,,"Съмотрите крины сельныя, како растуть не тружаються (τὰ κρίνα). (Мф. VI, 28) Остр.ев., 62 об. 1057 г. Яко яблъко по середѣ чаща тя обрѣтъ и прѣчистыи кринъ и удольныи цвѣтъ. Мин. сент., 0135. 1096 г.",природа. растения и плоды,,,,,
кринъ2,,κρήνη,м.,,криня,,,,"источник, родник",,"Срз. I, 1324; СлРЯ, 8, 57-58",,"Мин.окт., 206. 1096 г.",,1096 г.,,"Раи явистеся, древо по середѣ имущее животьное, кринъ же проливающе потокъ ицѣлении (κρήνη). Мин.окт., 206. 1096 г.",природа,,,,,
криня,,κρήνη,ж.,,кринъ,,,,"источник, родник",,"Срз. I, 1325; СлРЯ, 8, 58",,,"Х.Дан.иг., 40. 1496 г. ~ 1113 г.",1496 г.,1113 г.,"Безводно мѣсто то есть, рѣки [по вар.: ни крыни], ни кладязя … нѣсть близъ Иерусалима. Х.Дан.иг., 40. 1496 г. ~ 1113 г.",природа,,,,,
криосъ,,Κρίος,м.,,,,,,название созвездия Овен ,,"Срз. I, 1325; СлРЯ, 8, 58",,"Изб.Св. 1073 г.3, 1155 (лл. 251–251 об.).",,1073 г.,,"М҃сци по македономъ... .ı҃в. криосъ (Κρίος). Изб.Св. 1073 г.3, 1155 (лл. 251–251 об.). Криосу (κριῷ). (Сильв. и Ант. вопр.) Оп. II (2), 150. 1512 г.",астрономия. созвездия,приведена более ранняя цитата   ,,,,
крипида1,,κρηπίδα < κρηπίς,ж.,,,,,,сандалия,,"СлРЯ, 8, 58",,"ВМЧ, Дек. 6-17, 953. XVI в.",,XVI в.,,"Но нынѣ возми даемую ти крипиду, обуися, да весело твориши с нами путь. ВМЧ, Дек. 6-17, 953. XVI в.",быт. обувь,,,,,
крипида2,,κρηπίδα < κρηπίς,ж.,,,,,,"основание алтаря, алтаря ступень;  перен. опора ",gradus altaris,"ФГcэ, III, 101; Срз. I, 1325; СлРЯ, 8, 58; СДРЯ IV, 298","SJS II, 66; Грц.макед., 158 (крифида)","Гр.Наз., 238. ΧΙ в.",,ΧΙ в.,,"Плакатися дьньи нощь между крипидоюи олътарем. Гр.Наз., 238. ΧΙ в.; Ил. кн., 136 (л. 27). XI-XII в.; рыдаите служащии олтареви. поспите въ вретищи межю олтаре(м) и крипидою. ГБ XIV, 115а (СДРЯ IV, 298). ",религия. убранство храма,,,,,
кристаловидный,кристалъ,,прил.,,,,,,"на вид подобный хрусталю; чистый, прозрачный ",,"СлРЯ, 8, 58",,"Проскинитарий Арс. К., 33.",,,1686 г.,"Сей монастырь есть строение краснѣйшее. Въ входѣ есть кладязь съ кристаловидною водою сладчайшею. Проскинитарий Арс. К., 33. 1686 г.",природа,,,,,
кристал(л)ъ,,κρύσταλλος,м.,,,,,,1. горный хрусталь. 2. лед.,,"СлРЯ, 8, 58",,"Проскинитарий Арс. К., 10. 1686 г.",,,1686 г.,"Весь храмъ внутрь и внѣ сияше, яко злато сущее, и яко кристаллъ чистый. Проскинитарий Арс. К., 10. 1686 г.",природа,,,кристаль,,
кристаль,,κρύσταλλος,м.,,,,,,1. горный хрусталь. 2. лед.,,"СлРЯ, 8, 58",,"ВМЧ, Сент. 14 – 24, 796.",,XVI в.,,"Что сущьствомь есть небо; убо кристаль ли съмрьзшееся, убо облакъ ли съгущенъ, убо въздухь ли белѣйши? ВМЧ, Сент. 14 – 24, 796. XVI в.",природа,,,кристаллъ,,
крити,,κριταί,мн.,,,,да,,Книга Судей (название книги Ветхого Завета),,"СлРЯ, 8, 59",,"Ио.екз.Бог., 312. XII в.",,XII в.,,"Примѣшаеть  бо  ся Руф<ь> къ Критъмь и чьтуться въ
евреихъ едины книгы. Ио.екз.Бог., 312. XII в.",,,,,,
критирь ,,κρητήρ < κρατήρ,м.,,,,,,"сосуд, чаша ",,"СДРЯ IV, 298",,"ЗЦ к. XIV, 32в (СДРЯ IV, 298)",,XIV в.,,"а ч(с)тьная кровь грядущия за дь [так!] прч(с)тая б҃ца ак(ы) критирь носима о(т) ан҃глъ имущи бж(с)твную манну. ЗЦ к. XIV, 32в (СДРЯ IV, 298)",быт. утварь,,,,,
кроватка,кровать,,ж.,,,,,,"уменьш. к кровать (ложе, кровать)",,"СлРЯ, 8, 61",,,"Заговоры Олон., 504. XVII в.; Сказ.мол.дев.2, 89. XVII в.",,,"И на тои на кроватки золотои седит золотая швеика. Заговоры Олон., 504. XVII в.",быт. утварь,,,,,
кроватникъ,кровать,,м.,,,,,,название травянистого растения,,"СлРЯ, 8, 61",,,,,,"Кроватникъ есть трава, а ростет по лугамъ и по ровным мѣстом, а ствола у ней нѣтъ толко листие кустами ростет долго и широко. Росп. травам, 184 об. XVII в.",природа. растения и плоды,,,,,
кроватный,кровать,,прил.,,,,,,"относящийся к кровать (ложе, кровать)",,"СлРЯ, 8, 61",,,"ДАИ XII, 317. 1687 г.",,,"Роспись, что какихъ товаровъ купить на посолской дворъ, къ государевымъ верховымъ дѣламъ кроватного строения. ДАИ XII, 317. 1687 г.",быт. утварь,,,,,
кровать,,κραββάτι(ον) < κράβ(β)ατος,ж.,,,,,,"1. ложе, кровать. 2. крытые носилки; паланкин. 3. приспособление в виде полок, нар для хранения оружия. 4. деревянный настил с внутренней стороны крепостной стены. 5. настил на деревьях для наблюдения. ",grabbatus,"ФГcэ, III, 101; Срз. I, 1326; СлРЯ, 8, 61-62; СДРЯ IV, 299 ",,"Пч., 246.","Сл. о п.Иг., 23.; Сим.Послов., 79. XVII в.; Х.Афан.Никит., 17. XV-XVI вв. ~ 1472 г.; АМГ III, 51. 1660 г.; АМГ II, 76. 1638 г.; А.Ивер.м.Приемн.росп.г.Ольшанска, 10. 1688 г.; Арх.Гамеля, № 39, 89 об. 1638 г.",XIV-XV вв.,XIII в.,"На кроватехъ и на перинах лежаще. Пч., 246. XIV-XV вв. ~ XIII в. ; на устроенѣ кравати (εἰς... κράβατον).ФСт XIV, 194г (СДРЯ IV, 299)",быт. утварь,,,,,
крокодилъ,,κροκόδειλος,м.,коркодилъ,,,,,крокодил,crocodilus,"ФГcэ, III, 102; СлРЯ, 8, 69",,"Изб.Св. 1073 г., л. 257 об.","Арс.Сух.Проскинитарий, 39. 1653 г.; Спафарий.Сибирь, 42. 1675 г.",1073 г.,,"Водьнии звѣрие, яже нарече егуптѣне менефоф, елине же крокодиль [вм.: крокодилы?], имьже бѣаху я умаряюшта (κροκοδείλους). Изб.Св. 1073 г.2, 708.",природа. животный мир,"ранняя фиксация ставит под сомнение утверждение М. Фасмера, считавшего форму крокодилъ западным заимствованием, а коркодилъ - заимствованной непосредственно из греч. (Фасмер, II, 380)",,,,
кроконъ,,κρόκον < κρόκος,м.,,,acc.sing. κρόκον от κρόκος,,,шафран,,"ФГcэ, III, 102; СлРЯ, 8, 69",,"Проскинитарий Арс. К., 16. 1686 г.",,,1686 г.,"Катапетасма храма устроена отъ иакинфа, порфиры крокона и виссона. Проскинитарий Арс. К., 16. 1686 г.",быт. ткани,"в СлРЯ, 8, 69: название шерстяной ткани (?)",,,,
крокосъ,,κρόκος,м.,,,,,,"крокус, шафран ",Carthamus tinctorius,"ФГcэ, III, 102; Срз. I, 1327; СлРЯ, 8, 69",,"(Обр. глав.) Мин. чет. февр. 275. XV в. (Срз. I, 1327)",,XV в.,,"Паче нарда, паче крокоса, паче корица, паче всѣхъ мурскъ вонь. (Обр. глав.) Мин. чет. февр. 275. XV в. (Срз. I, 1327)",природа. растения и плоды,,,крокумъ,,
крокумъ,,crocum < κρόκος,м.,,,лат. crocum от греч. κρόκος,,лат.,"крокус, шафран ",,"СлРЯ, 8, 69",,,,,,"Есть трава, с которои корень крокумъ имянуется, прянее перца, бл҃говоненъ. Козм., 375. 1670 г.",природа. растения и плоды,,,крокосъ,,
кроника,,< χρονικὰ (βιβλία),ж.,краника,кроникъ,"польск. kronika, chronika из лат. chronica от греч. < χρονικὰ (βιβλία)",,"польск., лат.",хроника,,"СлРЯ, 8, 72",,,"ДТП II, 47. 1573 г.; Пустоз.сб., 22. XVII в.; Есип.лет., 116. XVII-XVIII вв.",,,"Въ прежнихъ кроникахъ и лѣтописцѣхъ писано, что съ великимъ государемъ самодержцемъ Георгиемъ Ярославомъ на многихъ битвахъ бывали варяги. ДТП II, 47. 1573 г.",культура. наука,,,"крайника,  краника, хроника ",,
кроносъ,,κρόνος,м.,,кронъ,,,,название планеты Сатурн,,"Срз. I, 1329; СлРЯ, 8, 72",,Изб. Св. 1073 г. 250 об.,,1073 г.,,"Седми же планитъ суть имена се: Слъньце, Луна, Зеус, Ермис, Арис, Афродити, Кронос. Изб. Св. 1073 г. 250 об.",астрономия,,,кронъ ,,
кронъ,,κρόνος,м.,,кроносъ,,,,название планеты Сатурн,,"Срз. I, 1329; СлРЯ, 8, 72","Стболг. I, 755",,"Алф.1, 122. XVII в.",,XVII в.,"Кронъ есть звѣзда а҃-я седми планит. Алф.1, 122. XVII в.",астрономия,,,кроносъ ,,
кротирь,,κρατήρ,м.,"кратеръ, кратырь",,,,,церковный сосуд (для святой воды),,"СлРЯ, 8, 74",,,"Чиновн.Иоакима, II, 61. 1676 г.",,,"И причащается [патриарх] святыя воды самъ, потомъ причащалъ изъ кротиря архиереовъ, и царевичевъ… а народъ причащать изъ кротиря приказалъ митрополитомъ и архиепископомъ на трехъ странахъ. Чиновн. Иоакима, II, 61. 1676 г.",религия. убранство храма,,,"кратеръ, кратырь",,
крустальный,кристал(л)ъ,,прил.,хрустальный,,,,,хрустальный ,,"Срз. I, 1336; СлРЯ, 8, 88","SJS II, 71 (кроусталъ)","Александрия, 8. XV в. ~ XII в.","(Сказ.Бор.Гл.) Сильв.сб., 142. XIV в.",XV в.,XII в.,"Сл҃нце же убо крустално, а луна адаматина. Александрия, 8. XV в. ~ XII в. Исковавъ убо сребреныя доскы и ст҃ыя по нимъ издражавъ и позлативъ, покова сребромъ и златомъ с крусталними великыми разънизаны устрои, имущи верху по обилу злату. (Сказ. Бор. Гл.) Сильв. сб., 142. XIV в.",природа,,,хрустальныый,,
крылосъ,,κλῆρος,м.,крилосъ,,,,,"1. собир. клир, священнослужители, весь церковный причт. 2. собир. младшие члены церковного причта - певцы и певчие; церковный хор.3. Место для певчих в церкви по правую и по левую сторону от амвона, клирос.",,"Срз. I, 1323-1324, 1340; СлРЯ, 8, 94",,,"ДАИ VI, 76. 1670 г.; Беседа Вал., 27. XVII в.; Кн.п.Моск.I, 319. 1578 г.; Посольство Елчина, 343. 1640 г.; Кн.прих.-расх.Корн.м., 13. 1577 г.; (Кн.расх.Болд.м.) РИБ II, 305. 1585 г.",,,"(987): Придоша русь пытающе, вѣры… си слышавъ патреархъ повелѣ создати [по вар. созвати] крилосъ по обычаю створиша прзд҃нкъ. Лавр. лет., 107.",религия. богослужебные должности,,,клиросъ ,,
крылошанинъ,крылосъ,,м.,,,,,,"член клира, священнослужитель; преимущественно младший чин церковного причта - отец и певец ",,"Срз. I, 1324, 1340; СлРЯ, 8, 95",,,"Кн.прих.Болд.м., 243. 1607 г.; Арс.Сух.Проскинитарий, 205. 1653 г.",,,"(1365): Сию церковь свяща ю архиепископъ новгородьскыи Алексѣи владыка съ попы, съ диаконы, съ диаконы, съ крилошаны святыя Софиа. Рог. лет., 80.",религия. богослужебные должности,,,"клирошанинъ, крилошанинъ, клирикъ, криликъ, клиросникъ",,
ксантикъ,,ξανθικός,м.,ксанфикъ,,,,,"ксантик (месяц в македонском календаре, приблизительно соответствующий апрелю)",,не зафиксировано,,"Хрон.И.Малалы, XVII, 25. XV в. ~ XIII в.",,XV в.,XIII в.,"Мс҃ца ксантика. Хрон.И.Малалы, XVII, 25. XV в. ~ XIII в.",календарь. месяцы,,,,,
ксанфикъ,,ξανθικός,м.,"ксантикъ, ксенфикъ",КСЕНФИНИКЪ,,,,"ксантик (месяц в македонском календаре, приблизительно соответствующий апрелю)",,"СлРЯ, 8, 99; СДРЯ IV, 324-325",,"Изб.Св. 1073 г., л. 251 об.",,1073 г.,,"Мc҃ци по елиномъ: .а҃. ксанфикъ  (ξανθικός). Изб.Св. 1073 г., л. 251 об.; да види(м) пасхы м(с)ць. егуптями фармуфа именуе(м). македонями же ксанфикъ. о(т) жидовъ же нисанъ. о(т) грекъ же се ‧а҃‧ въ м(с)цихъ лѣта вводится. и взаконяется начало м(с)цемъ. ГБ XIV, 63а (СДРЯ IV, 324 – 325)",календарь. месяцы,,,,,
ксенедохъ,,ξενοδόχος,м.,синодохъ,,,,,"тот, кто оказывает гостеприимство чужестранцам ",,"СлРЯ, 8, 100",,"Хрон.И.Малалы, XVII, 18. XV в. ~ XIII в.",,XV в.,XIII в.,"и бы҇с Паулъ патриархъ въ Антиохии, иже от ксенедохъ (ὁ ἀπὸ ξενοδόχων — 411, 19). Хрон.И.Малалы, XVII, 18. XV в. ~ XIII в.",государство. должности и титулы,,,,,
ксенедохионъ,,ξενοδοχεῖον,м.,ксенодохионъ,,,,,странноприимный дом,,"СлРЯ, 8, 100","Грц.макед., 163 (кшинодохиjо)","ВМЧ, Дек. 1 – 5, 469. XVI в.",,XVI в.,,"От негоже имѣниа Иерихоньское ксенедохионъ сотворивь и соградивь, воду имь купивь, и лаврьское ксенедохионъ на от҃чьскую службу и ина многа устроениа востави. ВМЧ, Дек. 1 – 5, 469. XVI в.",архитектура. сооружения и постройки,,,ксенодохионъ,,
ксенодохионъ,,ξενοδοχεῖον,м.,ксенедохионъ,,,,,странноприимный дом,,"СлРЯ, 8, 100",,"Ж. Сав. Осв., 115. XIII в.",,XIII в.,,"И имѣние ея [матери] лаврѣ своеи отлучи от него же имѣния иерихоньское ксенодохионъ, сътвори и съгради, и воду имъ купивъ, и лавръское ксенодохионъ, на оч҃ьскую служьбу и ина многа устроения въстави (ξενοδοχεῖον). Ж. Сав. Осв., 115. XIII в.",архитектура. сооружения и постройки,,"Сл. виз.: Ксенохейон — странноприимный дом, обычно при монастыре.",ксенедохионъ,,
ксенфикъ,,ξανθικός,,ксанфикъ,,,,,"ксантик (месяц в македонском календаре, приблизительно соответствующий апрелю)",,"СлРЯ, 8, 99",,"Хрон.И.Малалы, XVI, 13. XV в. ~ XIII в.",,XV в.,XIII в.,"вѣнцанъ мсца ксенфика [по вар.] април. Хрон.И.Малалы, XVI, 13. XV в. ~ XIII в.",календарь. месяцы,"ξανθικός: ксанфикъ, ксенфикъ - о переходе [a] > [e] в соседстве с носовым звуком – см.: Чернышева 1994, 428",,,,
ксесть,,ξέστης,ж.,,,,,,ксест (мера жидкостей и сыпучих тел),,"СлРЯ, 8, 100",,"Никон. Панд.1, 138. XIV в.",,XIV в.,,"Десять глекъ вина (по др. перев. – десять ксести вина). Никон. Панд.1, 138. XIV в.","меры длины, веса, объема",,,,,
кси ,,ξ,,,,,,,название буквы ξ в русской азбуке ,,"СлРЯ, 8, 100",,,"Сим.Послов., 161. XVII в.",,,"Кси, пси с фитою пахнули сытою. Сим. Послов., 161. XVII в.",культура. наука,,,,,
ксилолой,,ξυλαλόη,м.,"силолой, синолой",,,,,стебли алое ,lingnum aloes,"ФГcэ, III, 103; Срз. I, 1355; СлРЯ, 8, 100",,,"Х.Ант.Новг., 20. XVI в. ~ 1200 г.",,,"И егда внидетъ царь въ церковь ту, тогда понесутъ подъ исподъ много ксилолоя темьяна и кладутъ на углие, и исходитъ воня проходы тѣми во церковь. Х. Ант. Новг., 20. XVI в. ~ 1200 г.",природа. растения и плоды,,,синолой,,
ктиторовъ,ктиторъ,,прил.,,,,,,относящийся к ктиторъ ,,"СлРЯ, 8, 100",,,"(Посл.мт.Фот.Снет.м.) РИБ VI, 393. 1418 г.",,,"А повѣдаете ми и пишете, что того устава ктиторова у васъ написанаго и не было [в подлин.: ектиторова]. (Посл. мт. Фот. Снет. мон.) РИБ VI, 393. 1418 г.",религия. богослужение,,,,,
ктиторство,ктиторъ,,с.,,,,,,должность ктитора ,,"СлРЯ, 8, 100-101",,,"Княж.уставы, 137. XVI в.",,,"Не имет никто з мирских князеи и боляр заступати ни единаго презвитера в каковом любо дѣле, от епископа во его же предѣле церковъ имат<ь> под залогом тисячи рубълеи грошеи широких на церковъ соборную, в неи же пребывает епископъ, и погублением ктиторства. Княж. уставы, 137. XVI в.",религия. богослужение,,,,,
ктиторъ,,κτήτωρ,м.,,,,,,основатель монастыря ,fundator,"ФГcэ, III, 103; Срз. I, 1356; СлРЯ, 8, 100","Грц.макед., 159",,"(Уст.гр.Сузд.арх.Дион.) РИБ VI, 210, ок. 1382 г.; (Посл.мт.Фотия) РИБ VI, 392. 1418 г.",,,"Приде же въ слухи наша и се, яко ктиторъ сего честнаго монастыря, рекше создатель, создавъ сии монастырь и братью совъкупивъ, и уставъ въведе святыхъ отець. (Уст. гр. Сузд. арх. Дион.) РИБ VI, 210, ок. 1382 г.",религия. богослужение,,"Сл.виз.: основатель монастыря, пользовавшийся по отношению к нему рядом прав (доля в доходах и т. д.). Права ктиторства сходны с харистикием, но наследственные.",,,
кубара,,κουμβάρα<κουμβάριον:κύμβη,ж.,,,,,,морское судно ,navis longa,"ФГcэ, III, 103; Срз. I, 1356; СлРЯ, 8, 101; СДРЯ IV, 325",,"Хрон. Г. Амарт., 372. XIII – XIV вв. ~XI в.","Соф. I лет.2, 29. XV в.; Лавр.лет., 110. 1377 г.",XIII – XIV вв.,ΧΙ в.,"Трусъ велии и страшенъ быс<ть>, яко въ Александрию възбѣгнути морю далече, кубаромъ же яко на сусѣ обрѣстися лежащимъ. Хрон. Г. Амарт., 372. XIII – XIV вв. ~XI в.",морское дело,,,,,
кувикуларий,,κουβικουλάριος,м.,кувкуларий,кубикуларь,от лат. cubicularius,,греч.,"спальник, постельник при дворе цезаря ",,"СДРЯ IV, 325",,"КР 1284, 337в (СДРЯ IV, 325)",,1274 г.,,"прѣдъста ионъ кувикуиларии иже о(т) еврипа сыи родомь. КР 1284, 337в (СДРЯ IV, 325)",государство. должности и титулы,ср. кубикуларь - непосредственно от лат. cubicularius ,"Сл. виз.: Кувикуларий — придворный охранник (обычно евнух), ночевавший рядом со спальней императора.","кубикуларь, кувкуларий ",,
кувкуларий,,κουβικουλάριος,м.,кувикуларий,,от лат. cubicularius,,греч.,"спальник, постельник при дворе цезаря ",,"СДРЯ IV, 325",,"Пр 1383, 93в (СДРЯ IV, 325)",,1383 г.,,"Орѣстъ. и ‧г҃‧ бра(т)и его… сущии о(т) въсточны странъ. воинествуя. съ ‧а҃‧мь и ‧с҃‧ тиронъ под ромь. [в др. сп. родомь] кувкудариемь . в антиохиистѣмь гра(д). Пр 1383, 93в (СДРЯ IV, 325)",государство. должности и титулы,"кувкударий - вероятно, ошибочно вм. кувкуларий",,"кубикуларь, кувикуларий",,
кувкулий,,κουβουκλεῖον,м.,,,от лат. cubicularius,да,греч.,"спальня; покои, комната ",,"СлРЯ, 8, 103",,"Хрон.И. Малалы, IV, 364.",,XV в.,XIII в.,"Миноωсъ же ц҇рь Пасифаю затворивъ въ кѹвкѹлїи (ἐν τῷ κουβουκλείῳ — 86, 5). Хрон.И. Малалы, IV, 364.",архитектура,,,,,
кувукларий,,κουβικουλάριος,м.,ковукларий,,от лат. cubicularius,,греч.,"кубикуларий, спальничий при дворе византийского императора ",,"СлРЯ, 8,",,"Хрон. И. Малалы, XIV, 12. XV в. ~XIII в.",,XV в.,XIII в.,"Бѣ бо въспитовалъ Феодосия при живѣ оц҃и его, аки кувукларии и строя при оц҃е его град имьскыи (ὡς κουβικουλάριος). Хрон. И. Малалы, XIV, 12. XV в. ~XIII в.",государство. должности и титулы,,,,,
кудреный,гидра (гудра),,прил.,,,,да,,относящийся к гидре,,"СлРЯ, 8, 106",,"Флавий.Полон.Иерус. I, 102. ",,XVI в.,XI в.,"Растут же на мя и на моя дѣти кудръни главы … (τῆς ὕδρας). Флавий.Полон.Иерус. I, 102. ",,,,,,
кукиза,,< κοκκύζω,ж.,,,,да,,название сочетания знаков (знамен) древнерусской певческой нотации и соответствующей этому сочетанию мелодии,,"СлРЯ, 8, 112",,,"Азбука знам.3, 1001 об.",,1604 г.,"Имена попевкам ... кудра... кукиза. Азбука знам.3, 1001 об. 1604 г.",,,,,,
кукла,,κοῦκλα,ж.,,,"через ср.-греч., нов.-греч. κοῦκλα из лат. cuculla (Фасмер, 2, 405) ",,греч.,кукла,,"ФГcэ, III, 104; Срз. I, 1360; СлРЯ, 8, 112",,"Хрон.И.Малалы, X, 397.",,XV в.,XIII в.,"Праздновати куклами дѣтьсками. Хрон.И.Малалы, X, 397.",быт,,,,,
куколка,кукла,,ж.,,,,,,уменьш. к кукла.,,"СлРЯ, 8, 112",,,"Заговоры Олон., 493.",,XVII в.,"Вязать куколкои. Заговоры Олон., 493. XVII в.",быт,,,,,
куколь,,κουκούλλι(ον),м.,"кукуль, кукъль",,"от лат. cuculla, cucullus",,греч.,"1. верхняя одежда, плащ с капюшоном. 2. монашеский головной убор (в виде капюшона, покрывала) у принявших схиму. ",vestis genus,"Срз. I, 1361; СлРЯ, 8, 112; СДРЯ IV, 327",,"(Ж.Пахомия) Усп. сб., 211. XII в.; ПНЧ 1296, 19 об. (СДРЯ IV, 327)","Псков.лет. II, 190. XV-XVI вв.; Кн.расх.Корел.м. № 943, 36 об. 1587 г.; Кн.Степ., 625. XVI-XVII вв. ~ 1560 гг.",XII в.,,"Инѣмъ же дв҃цамъ вьсѣмъ образъ бяше стригомъ имущимъ
куклъля на главѣ (κουκούλια). (Ж.Пахомия) Усп. сб., 211. XII в.; 
И будеть кто рабъ нити единоя ли куколя или убруса... ПНЧ 1296, 19 об. (СДРЯ IV, 327)",религия. богослужебные облачения,"добавлена ранняя цитата, не отмеченная в словарях",,"кукуль, кукулий ",,
кукольница,куколь,,ж.,,,,,,"монашеская одежда, монашеский головной убор ",,"СлРЯ, 8, 112-113",,,"Х.Варс., 16. XVII в.~ XV в.",XVII в.,XV в.,"Лозие, от него ж<е> течет муро на кукольницю и на р҃жство Иоан<а>. Х. Варс., 16. XVII в. ~XV в.",религия. богослужебные облачения,,,,,
кукольный,кукла,,прил.,,,,,,прил. к кукла,,"СлРЯ, 8, 113",,,"Док.моск.театра, 80. 1699 г.",,1699 г.,"Куколного игреца предъ его дворомъ... крѣпко битъ. Док.моск.театра, 80. 1699 г.",быт,,,,,
кукулий ,,κουκούλλι(ον),м.,,кукуль,"от лат. cuculla, cucullus",,греч.,"1. верхняя одежда, плащ с капюшоном. 2. монашеский головной убор (в виде капюшона, покрывала) у принявших схиму. ",,"СлРЯ, 8, 113",,"Скрижаль, II, 136. 1656 г.",,,1656 г.,"Кукулии и камилавхии являета умерщвление плоти (κουκούλλιων). Скрижаль, II, 136. 1656 г.",религия. богослужебные облачения,,,"куколь, кукуль ",,
кукуль,,κουκούλλι(ον),м.,куколь,кукулий ,"от лат. cuculla, cucullus",,греч.,"1. верхняя одежда, плащ с капюшоном. 2. монашеский головной убор (в виде капюшона, покрывала) у принявших схиму. ",,"Срз. I, 1361; СлРЯ, 8, 113","Грц.макед., 160","Гр. Наз., 144. XI в.","(Ж.Гр.Неронова) Суб.Мат. I, 294. XVII в.",XI в.,,"Или кукуль добрѣ възложимь (τριβώνιον). Гр. Наз., 144. XI в.",религия. богослужебные облачения,,,"куколь, кукулий  ",,
кукульце,куколь,,с.,,,,,,"головной убор для маленьких детей, чепчик ",,"Срз. I, 1361; СлРЯ, 8, 113",,"Дороф.сл.3. XV в. (Срз. I, 1361)",,XV в.,,"Младѣньци бо мали незлобивыи носеть кукулце. Дороф.сл.3. XV в. (Срз. I, 1361)",быт. одежда,,,,,
кулизма,,κύλισμα,ж.,,,,,,1. название одного из основных сочетаний знаков (знамен) древнерусской певческой нотации и соответствующих этому сочетанию различных мелодий. 2. одно из общих названий знаков (знамен) древнерусской певческой нотации. ,neuma,"ФГcэ, III, 104; Срз. I, 1361; СлРЯ, 8, 115",,,"(Имена знам.) Сб.Кир.-Б.м., 33. XV в.; Азбука знам1, 29. XVII в.; Азбука знам., 15. 1668 г.; Мусик.грам.Дил., 14. 1681 г.",,,"А се имена знамением… кулизма. (Имена знамен.) Сб. Кир.-Б. м., 33. XV в.",искусство. музыка,,,,,
